ws (m/s),Power (W)
4.103921662022593,494480.73492932506
4.356823612533441,648095.2530173957
4.609762080544904,813147.0522981603
4.862700548556369,978198.8515789211
5.0946085879635135,1144460.1104800627
5.305562885517636,1335949.1195062362
5.516506227821573,1524006.9441746045
5.727460525375694,1715495.9532007761
5.938436733430185,1913847.3309425656
6.128365167067566,2107975.4597382024
6.297295124913669,2313320.669197824
6.46619769463431,2510087.917762922
6.635113958417682,2711144.146775285
6.804030222201053,2912200.3757876437
6.972960180047156,3117545.585247265
7.1209062691022265,3338682.7878479464
7.247731548738956,3532722.1791170873
7.374538569625379,3721042.929789882
7.501400366762724,3926519.602251718
7.628262163900072,4131996.2747135535
7.755123961037416,4337472.947175388
7.881985758174762,4542949.619637224
8.019337207363835,4739815.465453985
8.152635213984617,4984731.038580281
8.273375765081331,5249415.360664636
8.406687465764845,5498619.914238191
8.52742801686156,5763304.236322546
8.652260353902214,5991947.9763496965
8.770986051902485,6284374.278476443
8.89799391904229,6535600.075709051
9.0418290504656,6786773.287740774
9.135123961037415,7019804.605466846
9.23679416037534,7240800.485340146
9.338475314963445,7465227.549571253
9.431781180785446,7701690.051655133
9.554679003231007,7983237.790348601
9.660652790016433,8234529.319082316
9.745446426445023,8440137.454546366
9.8471494915335,8671426.88749309
9.915079346177968,8865650.326965334
9.99984102979352,9061250.841385776
10.084620972159378,9262569.996402567
10.169469384838889,9485334.053655658
10.2712162709281,9730348.224033613
10.364598823501396,9990829.016622148
10.466356664840793,10239274.371357912
10.656338961791583,10450272.489912773
10.909140489175737,10572434.484720936
11.16171378218105,10623113.472074768
11.414122746433591,10622324.694061477
11.666531710686133,10621535.916048188
11.918940674938677,10620747.138034899
12.171349639191218,10619958.36002161
12.42375860344376,10619169.58200832
12.676167567696304,10618380.803995032
12.928576531948845,10617592.025981743
13.180985496201387,10616803.247968454
13.43339446045393,10616014.469955165
13.685803424706473,10615225.691941876
13.938212388959014,10614436.913928587
14.190621353211558,10613648.135915296
14.4430303174641,10612859.357902007
14.695439281716641,10612070.579888718
14.947848245969185,10611281.80187543
15.200257210221729,10610493.02386214
15.45266617447427,10609704.245848851
15.705075138726812,10608915.467835562
15.957484102979354,10608126.689822273
16.2098930672319,10607337.911808984
16.46230203148444,10606549.133795695
16.714710995736983,10605760.355782405
16.967119959989525,10604971.577769116
17.219528924242066,10604182.799755827
17.471937888494608,10603394.021742538
17.724346852747153,10602605.243729249
17.976755816999695,10601816.46571596
18.229164781252237,10601027.68770267
18.48157374550478,10600238.909689382
18.73398270975732,10599450.131676093
18.986391674009862,10598661.353662804
19.238800638262408,10597872.575649515
19.49120960251495,10597083.797636224
19.74361856676749,10596295.019622935
19.99601840164488,10592646.921311473
20.248436495272575,10594717.463596357
20.500845459525117,10593928.685583068
20.753254423777662,10593139.90756978
21.005663388030204,10592351.12955649
21.258072352282745,10591562.351543201
21.510481316535287,10590773.573529912
21.76289028078783,10589984.795516621
22.01529924504037,10589196.017503332
22.267708209292916,10588407.239490043
22.520117173545458,10587618.461476754
22.772526137798,10586829.683463465
23.02493510205054,10586040.905450176
23.277344066303083,10585252.127436887
23.529753030555625,10584463.349423598
23.782161994808167,10583674.57141031
24.034570959060712,10582885.79339702
24.286979923313254,10582097.015383732
24.539388887565796,10581308.23737044
24.791797851818338,10580519.459357152
24.960043106527902,10571415.646453774
