ws (m/s),Thrust (N)
4.055773800863282,293021.3895098225
4.246520199815704,322218.5939858353
4.416072554440079,348474.32200662233
4.585624909064455,375253.8801002898
4.7551772636888305,402033.4381939578
4.924729618313206,425146.18577746046
5.051893884281488,450862.02763117873
5.200252194577816,477284.33762916527
5.3274164605460985,501079.46921565407
5.454580726514379,524176.16070496896
5.581744992482662,547272.8521942839
5.708909258450943,571067.9837807729
5.857267568747272,598363.3439002273
6.005625879043601,625658.7040196818
6.132790145011882,650326.8857276386
6.281148455308211,681812.8864301387
6.387118676948445,705949.2100181209
6.535476987244774,736387.5505748596
6.641447208885008,764190.6846730069
6.789805519181337,789739.9445495256
6.91273097628401,817095.5150221846
7.044134051117901,845711.4888885949
7.171298317086182,876491.0214468268
7.298462583054464,907968.9941022329
7.421388040157137,938816.7650607633
7.552791114991027,968829.6191215222
7.679955380959308,999958.3717283411
7.802880838061981,1031155.3627354586
7.934283912895873,1061168.2167962177
8.040254134536108,1091590.5012587684
8.178015422668413,1117310.3571360337
8.294582666472671,1146165.1654034893
8.442940976769,1172936.6954500629
8.56586643387167,1198231.867636058
8.676075464377515,1225931.8413290477
8.811717348077016,1250288.9362121138
8.930403996314078,1280506.5054737688
9.078762306610408,1306754.2054474617
9.248314661234783,1334057.59361401
9.417867015859159,1360837.1517076776
9.587419370483534,1388140.539874226
9.75697172510791,1414396.2678950129
9.905330035404239,1438024.8175043024
10.053688345700566,1461653.3671135919
10.223240700324942,1486861.4349886174
10.450319746696874,1510370.1373234328
10.597668816787104,1499051.3554968669
10.668315631213929,1471315.1217911693
10.753091808526117,1442012.7498982255
10.837867985838304,1412710.378005282
10.922644163150492,1383408.0061123383
11.024375575925117,1352959.6304967322
11.113390562102914,1326906.6106650676
11.202405548280712,1302739.3790957737
11.325331005383385,1274080.053775056
11.448256462486055,1245420.7284543384
11.622047625976041,1214475.818125971
11.791599980600417,1185729.388494284
11.961152335224792,1156982.9588625967
12.151898734177214,1130444.6435841024
12.363839177457685,1104542.952440159
12.575779620738153,1078641.2612962155
12.787720064018623,1053158.6342105768
12.999660507299092,1027676.0071249378
13.232794994907609,1005903.1406014166
13.487123526844172,983998.6141055544
13.741452058780736,961744.867561105
13.995780590717299,939840.3410652429
14.250109122653862,922126.4551524264
14.504437654590426,904761.7892881971
14.758766186526989,887397.1234239677
15.013094718463552,871080.1177054998
15.267423250400116,856159.9921813803
15.52175178233668,842985.9669001966
15.776080314273242,828415.0614246643
16.030408846209802,814891.8160948935
16.284737378146367,804162.3311538197
16.539065910082932,793432.846212746
16.793394442019498,783052.5813202594
17.047722973956056,772672.3164277726
17.30205150589262,761942.8314866988
17.556380037829186,751213.346545625
17.81070856976575,740833.0816531385
18.06503710170231,730103.5967120648
18.319365633638874,722866.3122568624
18.57369416557544,714930.5877044856
18.828022697512004,706994.8631521091
19.082351229448562,699757.5786969067
19.336679761385128,691821.85414453
19.591008293321693,684235.3496407404
19.845336825258258,676299.6250883638
20.099665357194816,669411.5606817484
20.35399388913138,664618.8165666561
20.608322421067946,659826.0724515637
20.86265095300451,655382.5483850583
21.11697948494107,650240.5842213789
21.371308016877634,645098.6200576993
21.6256365488142,640305.8759426068
21.879965080750765,635513.1318275144
22.134293612687323,630720.387712422
22.388622144623888,625927.6435973295
22.642950676560453,621134.8994822371
22.897279208497018,615643.7152699704
23.151607740433576,611200.1912034651
23.40593627237014,606756.6671369597
23.660264804306706,602313.1430704545
23.91459333624327,596821.9588581878
24.16892186817983,591679.9946945084
24.423250400116395,586887.2505794158
24.67757893205296,582094.5064643233
24.931907463989525,577650.982397818
25.08026577428585,574214.9782416043
