ws,rpm
3.0900560325e+00,1.0736038230e+01
3.3327321261e+00,1.0769782965e+01
3.5682706875e+00,1.0769782965e+01
3.8038092490e+00,1.0769782965e+01
4.0357790443e+00,1.0821697942e+01
4.2748863718e+00,1.0769782965e+01
4.5104249333e+00,1.0769782965e+01
4.7459634947e+00,1.0769782965e+01
4.9815020561e+00,1.0769782965e+01
5.2170406176e+00,1.0769782965e+01
5.4525791790e+00,1.0789605047e+01
5.6881177404e+00,1.1038796936e+01
5.9384804071e+00,1.1301711806e+01
6.1163696703e+00,1.1828848495e+01
6.3519082317e+00,1.2162992165e+01
6.5874467932e+00,1.2635890410e+01
6.8229853546e+00,1.3111620381e+01
7.0585239160e+00,1.3587350352e+01
7.2940624775e+00,1.4051753418e+01
7.5246596705e+00,1.4551988711e+01
7.7651396003e+00,1.5003213360e+01
8.3432797056e+00,1.6152894123e+01
8.5788182671e+00,1.6560662670e+01
8.8143568285e+00,1.6832508367e+01
9.0498953899e+00,1.7100000000e+01
9.2854339514e+00,1.7100000000e+01
9.5209725128e+00,1.7100000000e+01
9.7565110742e+00,1.7100000000e+01
9.9936967585e+00,1.7100000000e+01
1.0227588197e+01,1.7100000000e+01
1.0463126759e+01,1.7100000000e+01
1.0698665320e+01,1.7100000000e+01
1.0934203881e+01,1.7100000000e+01
1.1169742443e+01,1.7100000000e+01
1.1405281004e+01,1.7100000000e+01
1.1640819566e+01,1.7100000000e+01
1.1876358127e+01,1.7100000000e+01
1.2104759156e+01,1.7100000000e+01
1.2347435250e+01,1.7100000000e+01
1.2582973811e+01,1.7100000000e+01
1.2818512373e+01,1.7100000000e+01
1.3054050934e+01,1.7100000000e+01
1.3289589496e+01,1.7100000000e+01
1.3525128057e+01,1.7100000000e+01
1.3760666619e+01,1.7100000000e+01
1.3997989563e+01,1.7100000000e+01
1.4231743741e+01,1.7100000000e+01
1.4467282303e+01,1.7100000000e+01
1.4702820864e+01,1.7100000000e+01
1.4938359426e+01,1.7100000000e+01
1.5173897987e+01,1.7100000000e+01
1.5409436549e+01,1.7100000000e+01
1.5644975110e+01,1.7100000000e+01
1.5880513671e+01,1.7100000000e+01
1.6116052233e+01,1.7100000000e+01
1.6351590794e+01,1.7100000000e+01
1.6587129356e+01,1.7100000000e+01
1.6822667917e+01,1.7100000000e+01
1.7058206479e+01,1.7100000000e+01
1.7293745040e+01,1.7100000000e+01
1.7529283601e+01,1.7100000000e+01
1.7764822163e+01,1.7100000000e+01
1.8005302093e+01,1.7100000000e+01
1.8235899286e+01,1.7100000000e+01
1.8471437847e+01,1.7100000000e+01
1.8706976409e+01,1.7100000000e+01
1.8942514970e+01,1.7100000000e+01
1.9178053531e+01,1.7100000000e+01
1.9413592093e+01,1.7100000000e+01
1.9649130654e+01,1.7100000000e+01
1.9884669216e+01,1.7100000000e+01
2.0105383672e+01,1.7100000000e+01
2.0355746339e+01,1.7100000000e+01
2.0591284900e+01,1.7100000000e+01
2.0826823462e+01,1.7100000000e+01
2.1062362023e+01,1.7100000000e+01
2.1297900584e+01,1.7100000000e+01
2.1533439146e+01,1.7100000000e+01
2.1768977707e+01,1.7100000000e+01
2.2006163391e+01,1.7100000000e+01
2.2240054830e+01,1.7100000000e+01
2.2475593392e+01,1.7100000000e+01
2.2711131953e+01,1.7100000000e+01
2.2946670514e+01,1.7100000000e+01
2.3182209076e+01,1.7100000000e+01
2.3417747637e+01,1.7100000000e+01
2.3653286199e+01,1.7100000000e+01
2.3888824760e+01,1.7100000000e+01
2.4117225789e+01,1.7100000000e+01
2.4359901883e+01,1.7100000000e+01
2.4595440444e+01,1.7100000000e+01
2.4830979006e+01,1.7100000000e+01
